transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status
4040,1208,Andrew Collins,110,45000,Microwave,home appliances,online,Mumbai,06-10-2025,2,UPI,0.3,Andrew87@gmail.com,6342139760,successful
4041,1463,Matthew Mathis,101,250000,Laptop,ELEC,offline,Delhi,11-21-2025,1,NetBanking,0.15,MatthewMathis@yahoo.com,9643726617,successful
4041,1463,Matthew Mathis,101,250000,Laptop,ELEC,offline,Delhi,11-21-2025,1,NetBanking,0.15,MatthewMathis@yahoo.com,9643726617,failed
4042,1403,Timothy Wright,102,70000,Phone,ELEC,online,Mumbai,09-27-2025,3,Card,0.3,Timothy69@gmail.com,9333297631,successful
4043,1781,Michael Knox,101,250000,laptop,Electronics,offline,Bangalore,24-10-2025,3,UPI,0.15,MichaelKnox@gmail.com,8778259518,successful
4044,1245,Carlos Bennett,102,70000,Phone,ELEC,online,Mumbai,01-10-2025,1,Card,0.05,CarlosBennett@gmail.com,7253770837,successful
4045,1833,Angela Coleman,105,45000,Tv,Electronics,online,Chennai,03-01-2026,2,Card,0.3,AngelaColeman@gmail.com,7033313398,successful
4046,1503,Patrick Lopez,110,45000,Microwave,HOME,offline,Chennai,26-03-2026,5,NetBanking,0.1,Patrick78@gmail.com,7298336747,successful
4047,1746,Lawrence Coffey,110,45000,Microwave,Home Appliances,offline,Chennai,13-09-2025,2,Card,0.05,Lawrence21@gmail.com,7164156371,successful
4048,1408,Mark Dunn,106,80000,sofa,FURN,online,Hyderabad,07-11-2025,3,Cash,0.3,MarkDunn@outlook.com,8983877817,successful
4049,1368,Brandon Medina,110,45000,Microwave,HOME,offline,Delhi,07-01-2025,3,NetBanking,0.05,BrandonMedina@yahoo.com,6458168163,successful
4050,1799,Matthew Rodriguez,107,50000,Dining table,Furniture,offline,Bangalore,09-01-2026,2,UPI,0.1,Matthew88@gmail.com,6494620699,successful
4051,1263,Morgan Daniel,101,250000,laptop,Electronics,offline,Chennai,12-04-2026,2,NetBanking,0.3,MorganDaniel@outlook.com,7320499648,successful
4052,1802,Joshua Singh,106,80000,SOFA,furniture,offline,Mumbai,07-05-2025,3,NetBanking,0.2,Joshua30@gmail.com,8073460890,successful
4053,1731,Miranda Evans,105,45000,tv,electronics,online,Bangalore,15-05-2025,4,Card,0.1,MirandaEvans@gmail.com,7553890140,successful
4054,1817,Debra Jenkins,102,70000,phone,ELEC,online,Chennai,21-04-2025,5,UPI,0.2,DebraJenkins@outlook.com,6397883618,successful
4055,1411,Luis Jackson,101,250000,laptop,electronics,online,Mumbai,16-04-2025,5,Card,0.05,Luis79@gmail.com,6623019917,successful
4056,1182,Nancy Jones,107,,dining table,FURN,offline,Delhi,05-09-2025,1,Cash,0.25,NancyJones@outlook.com,9983956538,successful
4057,1573,David Rasmussen,103,,Shirt,CLOTH,offline,Delhi,24-01-2026,3,UPI,0.05,DavidRasmussen@outlook.com,6114645738,successful
4058,1664,Diane King,110,,microwave,HOME,online,Bangalore,11-13-2025,3,Cash,0.35,DianeKing@yahoo.com,9770674528,successful
4059,1184,Oscar Tucker,102,70000,phone,electronics,offline,Delhi,07-05-2025,1,NetBanking,0.2,Oscar71@gmail.com,8351864909,successful
4060,1311,Elizabeth Peck,107,50000,Dining table,furniture,offline,Hyderabad,22-05-2025,2,Cash,0.05,ElizabethPeck@yahoo.com,9112760130,successful
4060,1311,Elizabeth Peck,107,50000,Dining table,furniture,offline,Hyderabad,22-05-2025,2,Cash,0.05,ElizabethPeck@yahoo.com,9112760130,failed
4061,1285,Ryan Dawson,101,250000,LAPTOP,ELEC,offline,Mumbai,24-01-2026,5,NetBanking,0.3,Ryan26@gmail.com,8186966846,successful
4061,1285,Ryan Dawson,101,250000,LAPTOP,ELEC,offline,Mumbai,24-01-2026,5,NetBanking,0.3,Ryan26@gmail.com,8186966846,failed
4062,1840,Kelly Chang,108,15000,Mixer grinder,Home Appliances,offline,Hyderabad,06-04-2026,3,UPI,0.1,KellyChang@yahoo.com,8556750724,successful
4063,1287,Roy Mack,109,65000,Refrigerator,HOME,online,Mumbai,08-07-2025,4,Card,0.1,Roy27@gmail.com,7252704481,successful
4064,1573,David Rasmussen,103,1300,shirt,clothing,online,Delhi,19-04-2025,5,NetBanking,0.4,DavidRasmussen@outlook.com,6114645738,successful
4065,1074,Justin Cooper,101,250000,laptop,Electronics,offline,Chennai,19-07-2025,1,Cash,0.3,Justin56@gmail.com,9099115753,successful
4066,1678,Joshua Faulkner,102,70000,Phone,ELEC,offline,Chennai,28-10-2025,2,Cash,0.35,JoshuaFaulkner@gmail.com,8958622135,successful
4067,1601,Jay English,109,65000,REFRIGERATOR,Home Appliances,offline,Delhi,01-07-2025,1,UPI,0.15,JayEnglish@outlook.com,6836362452,successful
4068,1059,Justin Taylor,107,50000,Dining table,Furniture,offline,Hyderabad,13-06-2025,2,Cash,0.35,Justin44@gmail.com,7479701241,successful
4069,1185,Ian Park,101,250000,LAPTOP,ELEC,offline,Hyderabad,11-01-2025,2,Card,0.15,Ian39@gmail.com,7713068929,successful
4070,1088,Duane Smith,102,70000,PHONE,Electronics,offline,Bangalore,02-25-2026,1,Cash,0.1,DuaneSmith@gmail.com,9359605068,successful
4071,1453,Tanner Smith,108,15000,mixer grinder,HOME,offline,Mumbai,06-11-2025,1,Card,0.1,TannerSmith@outlook.com,7946972425,successful
4072,1829,Tamara Brown,107,,dining table,FURN,offline,Hyderabad,21-07-2025,1,UPI,0.05,TamaraBrown@yahoo.com,9783380807,successful
4073,1724,Kelly Adams,103,1300,SHIRT,Clothing,online,Hyderabad,12-13-2025,5,UPI,0.4,KellyAdams@gmail.com,7750377165,successful
4074,1540,Derek Brooks,107,50000,DINING TABLE,furniture,online,Hyderabad,14-01-2026,2,UPI,0.35,Derek17@gmail.com,8668740281,successful
4075,1349,Jessica Hall,105,45000,tv,Electronics,online,Delhi,11-15-2025,1,NetBanking,0.3,JessicaHall@gmail.com,9094322681,successful
4076,1281,Mark Harper,103,1300,shirt,CLOTH,online,Bangalore,19-09-2025,1,Card,0.3,Mark81@gmail.com,8460307015,successful
4077,1291,Kathryn Moore,103,1300,SHIRT,CLOTH,offline,Chennai,04-04-2026,5,NetBanking,0.15,Kathryn65@gmail.com,9701317431,successful
4077,1291,Kathryn Moore,103,1300,SHIRT,CLOTH,offline,Chennai,04-04-2026,5,NetBanking,0.15,Kathryn65@gmail.com,9701317431,failed
4078,1217,Colin Yang,105,45000,tv,electronics,offline,Chennai,27-09-2025,4,Cash,0.35,ColinYang@yahoo.com,7003410764,successful
4079,1322,Heather Escobar,110,,MICROWAVE,HOME,online,Bangalore,09-05-2025,5,UPI,0.4,HeatherEscobar@gmail.com,8471468220,successful
4080,1505,Edgar Jones,103,1300,shirt,Clothing,online,Mumbai,10-30-2025,5,Cash,0.1,EdgarJones@outlook.com,7010830723,successful
4081,1294,Peter Reed,102,70000,PHONE,electronics,offline,Hyderabad,22-08-2025,4,Cash,0.3,PeterReed@yahoo.com,7055507125,successful
4081,1294,Peter Reed,102,70000,PHONE,electronics,offline,Hyderabad,22-08-2025,4,Cash,0.3,PeterReed@yahoo.com,7055507125,failed
4082,1472,Chad Barnes,109,,Refrigerator,Home Appliances,offline,Chennai,02-19-2026,5,UPI,0.4,ChadBarnes@outlook.com,7439247807,successful
4083,1872,Jennifer Hogan,110,45000,microwave,Home Appliances,online,Bangalore,05-08-2025,1,Card,0.4,JenniferHogan@gmail.com,8102092164,successful
4084,1721,Alison Robinson,104,8000,shoes,clothing,offline,Chennai,01-10-2026,2,Card,0.2,Alison88@gmail.com,9190417144,successful
4085,1399,Kristen Buchanan,101,250000,laptop,Electronics,offline,Bangalore,08-11-2025,2,Cash,0.05,KristenBuchanan@yahoo.com,7473125597,successful
4086,1893,Michael Gibbs,102,70000,Phone,Electronics,offline,Delhi,14-12-2025,5,UPI,0.2,MichaelGibbs@outlook.com,6538450615,successful
4087,1745,Monique Bird,103,1300,shirt,clothing,online,Delhi,03-01-2026,3,NetBanking,0.1,MoniqueBird@yahoo.com,7661411467,successful
4088,1540,Derek Brooks,105,45000,Tv,ELEC,offline,Hyderabad,20-01-2026,3,UPI,0.3,Derek17@gmail.com,8668740281,successful
4089,1293,James Crawford,103,1300,shirt,clothing,offline,Hyderabad,15-06-2025,3,UPI,0.4,JamesCrawford@yahoo.com,8376166088,successful
4090,1687,Jason Perry,104,8000,shoes,clothing,offline,Chennai,08-31-2025,5,Card,0.35,JasonPerry@gmail.com,8254074157,successful
4091,1502,Jillian Soto,102,70000,Phone,ELEC,offline,Hyderabad,26-11-2025,1,NetBanking,0.15,Jillian84@gmail.com,8550958229,successful
4092,1438,Paul Webster,101,250000,LAPTOP,ELEC,offline,Bangalore,06-17-2025,2,UPI,0.15,Paul43@gmail.com,9885417143,successful
4093,1549,Brent Delacruz,109,65000,REFRIGERATOR,home appliances,offline,Hyderabad,01-06-2025,2,Card,0.25,BrentDelacruz@gmail.com,9899718665,successful
4094,1060,John Barron,103,1300,shirt,CLOTH,offline,Mumbai,13-03-2026,5,Cash,0.35,JohnBarron@outlook.com,8542315462,successful
4095,1605,Brian Taylor,109,65000,REFRIGERATOR,home appliances,offline,Hyderabad,08-11-2025,2,NetBanking,0.2,BrianTaylor@outlook.com,9000909470,successful
4096,1511,Manuel Hernandez,110,45000,microwave,home appliances,online,Hyderabad,08-12-2025,1,Cash,0.15,ManuelHernandez@outlook.com,9915629139,successful
4097,1037,Matthew Olson,105,45000,Tv,ELEC,offline,Mumbai,04-30-2025,2,Cash,0.2,Matthew78@gmail.com,6837676198,successful
4098,1903,Mary Richardson,109,65000,refrigerator,home appliances,online,Mumbai,01-12-2026,2,Cash,0.2,MaryRichardson@outlook.com,6699209095,successful
4099,1080,Randy Hoffman,107,50000,DINING TABLE,FURN,offline,Bangalore,05-06-2025,1,Cash,0.05,Randy79@gmail.com,8904722674,successful
4100,1028,Katie Robbins,106,80000,Sofa,furniture,online,Hyderabad,11-30-2025,5,UPI,0.1,KatieRobbins@yahoo.com,9399356902,successful
4101,1055,Brandon Ritter,102,70000,Phone,ELEC,online,Delhi,07-14-2025,4,UPI,0.4,BrandonRitter@gmail.com,6153715614,successful
4102,1130,Brian Diaz,103,1300,shirt,Clothing,online,Delhi,11-10-2025,1,Cash,0.05,BrianDiaz@outlook.com,8228095676,successful
4103,1261,Paul Jones,101,250000,laptop,ELEC,offline,Hyderabad,10-05-2025,4,Cash,0.15,Paul93@gmail.com,9277587004,successful
4104,1981,Jennifer Foster,109,65000,Refrigerator,home appliances,online,Chennai,18-04-2025,5,UPI,0.2,JenniferFoster@outlook.com,9610532694,successful
4105,1618,Malik Torres,110,45000,Microwave,home appliances,online,Chennai,08-03-2025,3,Card,0.1,Malik71@gmail.com,6904855612,successful
4106,1022,Vanessa Taylor,106,80000,SOFA,FURN,online,Mumbai,30-06-2025,3,Cash,0.1,VanessaTaylor@outlook.com,6048940379,successful
4107,1023,Joseph Thomas,107,50000,Dining table,Furniture,online,Bangalore,11-26-2025,5,Cash,0.2,JosephThomas@gmail.com,9780784125,successful
4108,1077,Mandy Hess,103,1300,SHIRT,clothing,offline,Mumbai,27-10-2025,2,Card,0.2,MandyHess@yahoo.com,8659003856,successful
4108,1077,Mandy Hess,103,1300,SHIRT,clothing,offline,Mumbai,27-10-2025,2,Card,0.2,MandyHess@yahoo.com,8659003856,failed
4109,1803,Sandra Nunez,105,45000,Tv,electronics,offline,Chennai,01-24-2026,2,NetBanking,0.3,SandraNunez@gmail.com,9358082944,successful
4110,1091,Elaine Austin,106,,Sofa,furniture,offline,Mumbai,18-05-2025,2,Cash,0.1,Elaine88@gmail.com,6765934211,successful
4111,1309,Jonathan Turner,107,50000,DINING TABLE,Furniture,offline,Hyderabad,04-03-2026,2,Cash,0.4,JonathanTurner@outlook.com,9235217306,successful
4112,1154,Tammy Mitchell,104,,Shoes,Clothing,online,Chennai,30-11-2025,2,Cash,0.1,TammyMitchell@outlook.com,6489468610,successful
4113,1670,Joan Miller,108,15000,mixer grinder,HOME,offline,Mumbai,22-03-2026,4,Cash,0.35,Joan54@gmail.com,7915594178,successful
4113,1670,Joan Miller,108,15000,mixer grinder,HOME,offline,Mumbai,22-03-2026,4,Cash,0.35,Joan54@gmail.com,7915594178,failed
4114,1240,Mark Reyes,102,70000,PHONE,ELEC,offline,Bangalore,08-10-2025,5,Cash,0.35,MarkReyes@yahoo.com,8454332366,successful
4115,1988,Roger Mcmillan,107,50000,DINING TABLE,furniture,offline,Chennai,15-12-2025,1,Cash,0.4,Roger37@gmail.com,6467275410,successful
4116,1089,Jessica Avila,102,70000,PHONE,ELEC,offline,Bangalore,02-06-2026,5,NetBanking,0.4,JessicaAvila@outlook.com,6150667057,successful
4117,1988,Roger Mcmillan,104,,SHOES,Clothing,offline,Chennai,13-10-2025,1,Card,0.4,Roger37@gmail.com,6467275410,successful
4118,1004,Sean Davis,104,8000,Shoes,Clothing,offline,Mumbai,17-07-2025,1,Cash,0.15,Sean17@gmail.com,6553276489,successful
4119,1119,Valerie Hines,101,,laptop,Electronics,offline,Hyderabad,26-12-2025,2,Cash,0.3,ValerieHines@outlook.com,7802302395,successful
4120,1335,James Lewis,109,65000,refrigerator,home appliances,online,Delhi,05-04-2025,5,NetBanking,0.4,JamesLewis@yahoo.com,7056252840,successful
4121,1708,Lori Bell,102,70000,phone,electronics,online,Chennai,10-03-2026,4,Card,0.25,LoriBell@outlook.com,9087275347,successful
4122,1137,Kelly Jackson,105,,Tv,electronics,offline,Bangalore,10-06-2025,1,NetBanking,0.05,KellyJackson@outlook.com,9788395018,successful
4123,1658,Brian Macdonald,105,45000,Tv,ELEC,offline,Delhi,30-03-2026,1,UPI,0.4,BrianMacdonald@outlook.com,8444033660,successful
4124,1250,Brooke Santiago,104,8000,Shoes,Clothing,offline,Delhi,06-02-2026,2,Cash,0.4,BrookeSantiago@gmail.com,6765644076,successful
4125,1845,Brendan Ruiz,107,50000,dining table,FURN,offline,Bangalore,05-01-2025,1,UPI,0.25,BrendanRuiz@gmail.com,7818750041,successful
4126,1922,Thomas Rivera,104,8000,shoes,clothing,offline,Bangalore,25-07-2025,3,NetBanking,0.4,Thomas10@gmail.com,7562849921,successful
4127,1639,John Marshall,110,45000,microwave,home appliances,offline,Delhi,04-09-2025,1,Card,0.35,JohnMarshall@gmail.com,9023853527,successful
4128,1800,Michael Cook,103,1300,shirt,CLOTH,offline,Hyderabad,05-29-2025,2,Card,0.15,Michael68@gmail.com,9084899133,successful
4129,1805,Joshua Thomas,103,1300,Shirt,CLOTH,offline,Chennai,07-20-2025,2,UPI,0.35,JoshuaThomas@yahoo.com,9926747848,successful
4130,1890,Kim Massey,109,65000,REFRIGERATOR,home appliances,offline,Chennai,04-10-2025,5,NetBanking,0.15,Kim74@gmail.com,6124967813,successful
4131,1146,Eric Patterson,102,70000,phone,electronics,online,Mumbai,06-28-2025,3,NetBanking,0.25,EricPatterson@outlook.com,8034311180,successful
4132,1936,Lisa Wiggins,103,1300,shirt,clothing,online,Bangalore,15-10-2025,5,NetBanking,0.1,LisaWiggins@gmail.com,6113940325,successful
4133,1316,Carmen Hernandez,105,45000,TV,electronics,online,Bangalore,23-01-2026,4,Card,0.25,Carmen65@gmail.com,9014275124,successful
4134,1607,Adrian Singleton,102,70000,Phone,Electronics,online,Mumbai,04-01-2026,2,NetBanking,0.25,AdrianSingleton@yahoo.com,8839546994,successful
4135,1291,Kathryn Moore,110,45000,microwave,HOME,offline,Chennai,08-16-2025,2,Cash,0.05,Kathryn65@gmail.com,9701317431,successful
4136,1729,Samuel Bishop,101,250000,laptop,electronics,offline,Bangalore,16-06-2025,5,Card,0.3,SamuelBishop@outlook.com,8999903860,successful
4137,1514,Stephanie Duncan,101,250000,Laptop,Electronics,online,Chennai,17-12-2025,5,NetBanking,0.35,Stephanie6@gmail.com,9193040760,successful
4138,1834,David Thomas,102,70000,PHONE,Electronics,online,Mumbai,13-04-2026,3,NetBanking,0.35,DavidThomas@yahoo.com,6689625827,successful
4139,1100,John Jones,101,250000,Laptop,ELEC,offline,Mumbai,16-03-2026,5,NetBanking,0.4,JohnJones@outlook.com,9234136682,successful
4140,1900,Norman Joseph,106,80000,Sofa,furniture,offline,Delhi,01-23-2026,1,Cash,0.1,Norman81@gmail.com,7057493283,successful
4141,1741,Sandra Morales,110,45000,microwave,Home Appliances,offline,Hyderabad,08-15-2025,1,NetBanking,0.1,SandraMorales@gmail.com,9477429760,successful
4142,1946,Faith Bass,101,,Laptop,Electronics,online,Chennai,08-13-2025,1,NetBanking,0.35,Faith46@gmail.com,7178557678,successful
4143,1784,Jason Chavez,107,50000,DINING TABLE,FURN,offline,Mumbai,12-04-2026,4,Cash,0.25,JasonChavez@outlook.com,7936741742,successful
4144,1977,Donna Ayers,102,70000,phone,electronics,online,Hyderabad,09-08-2025,3,Card,0.35,DonnaAyers@yahoo.com,6365528587,successful
4145,1034,Laura Landry,107,50000,Dining table,furniture,offline,Mumbai,03-05-2025,4,Card,0.15,LauraLandry@yahoo.com,7998918246,successful
4146,1978,Carl Gardner,105,45000,Tv,electronics,online,Mumbai,10-18-2025,1,Cash,0.4,CarlGardner@outlook.com,8594147866,successful
4147,1427,Sarah Williams,108,15000,mixer grinder,home appliances,online,Hyderabad,02-10-2026,4,Card,0.05,Sarah60@gmail.com,8285509338,successful
4148,1206,Sheila Young,108,,mixer grinder,home appliances,offline,Delhi,01-15-2026,2,UPI,0.3,SheilaYoung@outlook.com,8247141623,successful
4149,1874,Kim Woodward,108,15000,MIXER GRINDER,HOME,online,Delhi,03-18-2026,2,UPI,0.25,KimWoodward@outlook.com,8278916856,successful
4150,1873,Mitchell Johnson,107,50000,Dining table,FURN,offline,Delhi,01-01-2026,5,Cash,0.1,MitchellJohnson@outlook.com,6645552892,successful
4151,1132,Sara Perez,108,15000,MIXER GRINDER,Home Appliances,online,Chennai,08-11-2025,1,NetBanking,0.35,SaraPerez@outlook.com,6810508923,successful
4152,1897,Spencer Carpenter,109,65000,refrigerator,HOME,offline,Delhi,07-06-2025,4,NetBanking,0.05,SpencerCarpenter@yahoo.com,7610181321,successful
4153,1276,Thomas Williamson,104,8000,shoes,clothing,online,Mumbai,06-04-2026,2,NetBanking,0.05,ThomasWilliamson@outlook.com,9072614137,successful
4154,1854,Randy Hayes,109,65000,REFRIGERATOR,Home Appliances,offline,Delhi,24-10-2025,4,UPI,0.05,RandyHayes@outlook.com,8514728675,successful
4155,1506,Nicholas Ponce,102,70000,PHONE,electronics,offline,Mumbai,13-12-2025,3,Card,0.05,Nicholas18@gmail.com,6040194092,successful
4156,1548,Christina Porter,108,15000,mixer grinder,HOME,offline,Hyderabad,08-10-2025,3,Card,0.25,ChristinaPorter@yahoo.com,7741683259,successful
4156,1548,Christina Porter,108,15000,mixer grinder,HOME,offline,Hyderabad,08-10-2025,3,Card,0.25,ChristinaPorter@yahoo.com,7741683259,failed
4157,1205,Timothy Jimenez,106,80000,Sofa,furniture,online,Bangalore,14-01-2026,3,Cash,0.3,TimothyJimenez@gmail.com,7256788888,successful
4158,1283,Dwayne Newman,110,45000,MICROWAVE,HOME,offline,Hyderabad,02-18-2026,3,Card,0.15,DwayneNewman@outlook.com,8314728973,successful
4159,1453,Tanner Smith,109,65000,Refrigerator,HOME,online,Mumbai,03-23-2026,3,UPI,0.4,TannerSmith@outlook.com,7946972425,successful
4160,1764,Lisa Matthews,105,45000,TV,electronics,offline,Mumbai,02-04-2026,5,Card,0.1,LisaMatthews@outlook.com,7467829611,successful
4161,1185,Ian Park,108,15000,MIXER GRINDER,Home Appliances,online,Hyderabad,20-04-2025,4,Card,0.05,Ian39@gmail.com,7713068929,successful
4162,1845,Brendan Ruiz,110,45000,MICROWAVE,home appliances,online,Bangalore,06-23-2025,1,Card,0.4,BrendanRuiz@gmail.com,7818750041,successful
4163,1014,Nicholas Stephens,101,250000,laptop,ELEC,online,Delhi,03-16-2026,1,Cash,0.15,NicholasStephens@gmail.com,7578575671,successful
4164,1445,Samantha Clark,104,8000,shoes,Clothing,offline,Chennai,17-03-2026,3,UPI,0.3,SamanthaClark@gmail.com,7880541717,successful
4165,1549,Brent Delacruz,108,15000,MIXER GRINDER,Home Appliances,offline,Hyderabad,05-02-2026,2,Card,0.15,BrentDelacruz@gmail.com,9899718665,successful
4166,1430,Jennifer Gregory,107,50000,Dining table,furniture,offline,Delhi,05-08-2025,4,UPI,0.4,JenniferGregory@yahoo.com,9828548072,successful
4167,1570,John Wilkins,107,50000,DINING TABLE,FURN,offline,Delhi,03-07-2026,1,Card,0.2,JohnWilkins@outlook.com,6440039629,successful
4168,1011,Gina Price,106,80000,sofa,furniture,offline,Mumbai,07-01-2026,2,UPI,0.1,GinaPrice@yahoo.com,7366544562,successful
4169,1480,Kelly Davis,108,15000,Mixer grinder,Home Appliances,offline,Hyderabad,10-04-2026,4,NetBanking,0.4,KellyDavis@gmail.com,8159584924,successful
4170,1798,James Rodriguez,110,45000,MICROWAVE,HOME,online,Mumbai,28-11-2025,2,Card,0.35,JamesRodriguez@yahoo.com,7801565191,successful
4171,1489,Kevin Hall,101,250000,laptop,Electronics,online,Hyderabad,06-09-2025,5,NetBanking,0.4,KevinHall@yahoo.com,6888591713,successful
4172,1667,Maria Tate,101,250000,Laptop,ELEC,online,Delhi,20-11-2025,2,Card,0.1,MariaTate@yahoo.com,8490238381,successful
